Date,Open,High,Low,Close,Adj Close,Volume
21/09/2015,663.400024,713.799988,639.400024,702.400024,702.400024,900
28/09/2015,719.400024,760,680,680,680,1300
05/10/2015,652.599976,652.599976,583,585.599976,585.599976,300
12/10/2015,566.400024,604,543,545.400024,545.400024,500
19/10/2015,540,550,497.200012,513,513,400
26/10/2015,520.799988,537,513,518.599976,518.599976,0
02/11/2015,500,525.400024,499.399994,505,505,100
09/11/2015,504,610,504,609,609,400
16/11/2015,589,598.400024,535,538.200012,538.200012,900
23/11/2015,538,541.799988,513.200012,518.599976,518.599976,200
30/11/2015,521.400024,577.799988,495,510.600006,510.600006,700
07/12/2015,512.799988,651,512.799988,645.799988,645.799988,1100
14/12/2015,642.599976,667.400024,533.599976,603.599976,603.599976,1900
21/12/2015,582.200012,600,530,542.200012,542.200012,900
28/12/2015,527,549.799988,527,549.799988,549.799988,100
04/01/2016,599.200012,691.599976,576.400024,691.599976,691.599976,1200
11/01/2016,682.799988,763.599976,623.599976,738.200012,738.200012,1500
18/01/2016,736.200012,819.799988,694.400024,694.400024,694.400024,1400
25/01/2016,702.200012,730,669.400024,670.799988,670.799988,1900
01/02/2016,670.799988,746,660.799988,741.200012,741.200012,700
08/02/2016,763.200012,845,748,793.400024,793.400024,1200
15/02/2016,773.400024,773.400024,709.599976,709.599976,709.599976,500
22/02/2016,688.799988,736,663.599976,684.400024,684.400024,700
29/02/2016,680.400024,692.599976,595.599976,605,605,700
07/03/2016,620,632.799988,586.200012,586.200012,586.200012,600
14/03/2016,586,593.400024,533,540.400024,540.400024,500
21/03/2016,533.200012,564.400024,519.799988,540.200012,540.200012,1000
28/03/2016,540,540,478.799988,478.799988,478.799988,1300
04/04/2016,478,534,478,517.799988,517.799988,4900
11/04/2016,506,532.200012,474,474,474,1800
18/04/2016,480.600006,480.600006,437,446,446,5800
25/04/2016,453.600006,489.600006,423.799988,471.200012,471.200012,7200
02/05/2016,460.600006,484,438,447.600006,447.600006,8800
09/05/2016,443.600006,443.600006,411.600006,438.600006,438.600006,9700
16/05/2016,439,460.799988,414,424.399994,424.399994,5900
23/05/2016,415.799988,415.799988,380,380,380,5500
30/05/2016,380,390.600006,364,364.799988,364.799988,2300
06/06/2016,363.600006,404,352.799988,401.200012,401.200012,3100
13/06/2016,421.399994,483,411.799988,438.399994,438.399994,7500
20/06/2016,420,483,379.600006,470.399994,470.399994,10300
27/06/2016,480,503,388,392,392,5400
04/07/2016,384.200012,397.200012,342.200012,344.600006,344.600006,5800
11/07/2016,337.200012,379.799988,325.799988,327.799988,327.799988,5800
18/07/2016,330.399994,330.399994,312.200012,313.200012,313.200012,2500
25/07/2016,312.799988,324.600006,285.200012,285.799988,285.799988,3000
01/08/2016,286.799988,301.200012,266,268,268,3400
08/08/2016,264.399994,268.799988,253.800003,260,260,4700
15/08/2016,260,269.399994,253.600006,254.600006,254.600006,3100
22/08/2016,257.799988,269.799988,251.600006,262,262,2200
29/08/2016,258.399994,262,245.600006,245.600006,245.600006,2900
05/09/2016,245.199997,274,234.199997,273.600006,273.600006,4500
12/09/2016,276.200012,297,253.600006,273.600006,273.600006,11100
19/09/2016,265.799988,270,235.800003,235.800003,235.800003,5300
26/09/2016,249.199997,258,233.800003,238.600006,238.600006,4600
03/10/2016,243.600006,244,232.800003,234.600006,234.600006,1800
10/10/2016,232,258,232,246.600006,246.600006,2500
17/10/2016,246,249,222.600006,223.199997,223.199997,2000
24/10/2016,218.199997,239,214.600006,236.199997,236.199997,3000
31/10/2016,235,270,235,267.600006,267.600006,6100
07/11/2016,244.800003,246.600006,213.600006,222,222,7600
14/11/2016,223.199997,228.199997,204.600006,205.199997,205.199997,3300
21/11/2016,203,203,195,195.600006,195.600006,2100
28/11/2016,198.800003,207.399994,194,204.199997,204.199997,2900
05/12/2016,199,199,180.199997,184,184,5100
12/12/2016,183.600006,189.199997,180,181.199997,181.199997,3900
19/12/2016,178.800003,178.800003,167.600006,170.600006,170.600006,3800
26/12/2016,167.600006,181.600006,167,180,180,4200
02/01/2017,172.800003,173,152.600006,156,156,6200
09/01/2017,156.600006,162.199997,149.600006,151.600006,151.600006,9000
16/01/2017,151.800003,153.600006,146,146.399994,146.399994,6900
23/01/2017,146,148.800003,133.199997,133.800003,133.800003,9700
30/01/2017,136.800003,143.199997,131.600006,132.600006,132.600006,13000
06/02/2017,134.199997,135.399994,127.199997,128.600006,128.600006,6300
13/02/2017,126.199997,129.399994,118.199997,124,124,8700
20/02/2017,121.800003,134,121.800003,129,129,4400
27/02/2017,127.800003,130.800003,123.599998,123.599998,123.599998,3500
06/03/2017,123.199997,123.599998,119,120,120,4100
13/03/2017,119.599998,119.599998,109.599998,110.400002,110.400002,3600
20/03/2017,111,123.199997,108.800003,117.800003,117.800003,7600
27/03/2017,122.599998,123.599998,108.199997,110.599998,110.599998,6600
03/04/2017,112,116,107.599998,116,116,3100
10/04/2017,118,128.199997,117.599998,128,128,8400
17/04/2017,126.599998,126.599998,118.800003,122,122,6500
24/04/2017,111.400002,112.599998,105.599998,105.599998,105.599998,8700
01/05/2017,104.400002,104.400002,100.800003,102,102,5800
08/05/2017,100.400002,102.400002,97.599998,99.599998,99.599998,4600
15/05/2017,97.599998,113.400002,95.599998,102.800003,102.800003,12000
22/05/2017,98.599998,98.800003,94.800003,95,95,2700
29/05/2017,91.099998,96.800003,91.099998,92.900002,92.900002,9000
05/06/2017,93.300003,97,90.800003,93.800003,93.800003,3200
12/06/2017,95.099998,96.599998,90.800003,91.5,91.5,3100
19/06/2017,89.599998,90.800003,88.099998,88.400002,88.400002,1800
26/06/2017,87.199997,99.300003,85.699997,89.599998,89.599998,1800
03/07/2017,89.5,96,89.5,92.400002,92.400002,1100
10/07/2017,91.5,92.5,83.900002,84.400002,84.400002,2600
17/07/2017,83,83.800003,79,79,79,3200
24/07/2017,78.5,82.300003,76.900002,79.599998,79.599998,3000
31/07/2017,78.5,79.5,77.5,78.800003,78.800003,1800
07/08/2017,78.400002,98.800003,77,96.699997,96.699997,23500
14/08/2017,89.099998,96.099998,81.5,93.599998,93.599998,13700
21/08/2017,93,94,82.900002,83.800003,83.800003,7800
28/08/2017,83,89.5,80.300003,81.099998,81.099998,5100
04/09/2017,84,89,82.699997,85.300003,85.300003,4500
11/09/2017,82.199997,82.199997,75.099998,75.199997,75.199997,5600
18/09/2017,74.5,74.5,71.5,72,72,6200
25/09/2017,72.199997,74.5,68.699997,68.699997,68.699997,5000
02/10/2017,67.5,67.5,65.099998,66.300003,66.300003,2600
09/10/2017,65.5,66.199997,61.5,61.799999,61.799999,1400
16/10/2017,61.5,63.099998,59.099998,59.200001,59.200001,3000
23/10/2017,58.900002,67.5,58.900002,59.900002,59.900002,3700
30/10/2017,60.900002,61.299999,58.799999,58.799999,58.799999,1100
06/11/2017,58.700001,62.5,58.299999,60.700001,60.700001,2300
13/11/2017,62.200001,64.800003,60.099998,60.400002,60.400002,2600
20/11/2017,59.900002,59.900002,55,55.799999,55.799999,2600
27/11/2017,55.299999,63.099998,54.5,57.599998,57.599998,7400
04/12/2017,55,57.400002,53.099998,53.099998,53.099998,3900
11/12/2017,52.599998,52.799999,48.900002,49.299999,49.299999,6200
18/12/2017,48.5,49.299999,47.799999,48.5,48.5,2800
25/12/2017,47.799999,49,47.799999,49,49,2500
01/01/2018,48.299999,48.299999,45.5,46.200001,46.200001,3000
08/01/2018,46.200001,46.799999,44.900002,45.200001,45.200001,2400
15/01/2018,45.099998,48.5,44.700001,46.799999,46.799999,34800
22/01/2018,46.799999,49.200001,45.799999,48.400002,48.400002,5100
29/01/2018,49.599998,58.700001,49.5,57.700001,57.700001,15600
05/02/2018,61.200001,98.599998,56.5,88.5,88.5,77400
12/02/2018,85.400002,89,71,73.800003,73.800003,9900
19/02/2018,76.400002,79,70.900002,71.099998,71.099998,3700
26/02/2018,69,88.699997,68,79.300003,79.300003,6800
05/03/2018,81.099998,81.099998,67.5,67.5,67.5,4100
12/03/2018,68.5,74.099998,68.099998,68.800003,68.800003,4300
19/03/2018,70.800003,88,70.099998,87.599998,87.599998,12500
26/03/2018,81.800003,91.699997,81,83.300003,83.300003,7500
02/04/2018,86.5,94.5,82.400002,87.5,87.5,13500
09/04/2018,86.599998,88.199997,79.599998,81.800003,81.800003,5300
16/04/2018,78.199997,78.199997,70.099998,75.300003,75.300003,4200
23/04/2018,74.400002,80.599998,71.400002,73.800003,73.800003,10900
30/04/2018,72.099998,77.099998,69.5,70.800003,70.800003,10800
07/05/2018,70.5,71,63.5,63.5,63.5,5100
14/05/2018,62.799999,66,60.799999,62.400002,62.400002,7200
21/05/2018,60.5,63.299999,59.299999,60.5,60.5,6800
28/05/2018,60.200001,69.5,59.900002,62.400002,62.400002,10800
04/06/2018,61.099998,61.099998,56.799999,57.299999,57.299999,9600
11/06/2018,57.599998,57.599998,54.599998,55.799999,55.799999,11600
18/06/2018,57.900002,61.200001,55,58.5,58.5,27400
25/06/2018,60,71.199997,60,64.800003,64.800003,62900
02/07/2018,64.099998,68.800003,60.299999,60.5,60.5,12400
09/07/2018,58.299999,61.700001,55.299999,55.400002,55.400002,22000
16/07/2018,55,56.099998,53.5,55.099998,55.099998,19900
23/07/2018,55.099998,56.700001,53.099998,55.299999,55.299999,24200
30/07/2018,55.599998,57.400002,52.700001,53.400002,53.400002,35700
06/08/2018,51.400002,53.599998,49,52.599998,52.599998,46300
13/08/2018,53.5,60,51.400002,51.900002,51.900002,37200
20/08/2018,51,53.5,50.099998,50.799999,50.799999,25600
27/08/2018,50,53.200001,50,51,51,15800
03/09/2018,51.599998,55.900002,51.5,54.299999,54.299999,18700
10/09/2018,54,54,48,48,48,34100
17/09/2018,48.700001,50,46.400002,47,47,17900
24/09/2018,47.5,48.200001,45.799999,46.900002,46.900002,34600
01/10/2018,45.700001,52.700001,45.5,50,50,72500
08/10/2018,53.5,67.699997,49.900002,59.799999,59.799999,117900
15/10/2018,62.099998,63,56.400002,60.5,60.5,57400
22/10/2018,60.799999,73,60,70.400002,70.400002,95100
29/10/2018,68.800003,73.900002,62,64.699997,64.699997,77500
05/11/2018,64.099998,65.099998,55.700001,58,58,53600
12/11/2018,59.400002,68.5,57,61.900002,61.900002,43300
19/11/2018,62.900002,71,61.599998,68.5,68.5,61200
26/11/2018,66.800003,66.800003,60.299999,60.599998,60.599998,38800
03/12/2018,57,73.300003,56.200001,71,71,64700
10/12/2018,71.400002,74.5,66.800003,71.400002,71.400002,66200
17/12/2018,71.699997,83.800003,71,83,83,76100
24/12/2018,83.300003,91.5,83,86.400002,86.400002,26600
31/12/2018,82.800003,86.199997,77.099998,77.300003,77.300003,20600
07/01/2019,76.900002,77.599998,69.199997,69.400002,69.400002,32600
14/01/2019,70.199997,71.300003,64.199997,65.400002,65.400002,37100
21/01/2019,67.300003,74.900002,64.599998,65.800003,65.800003,43700
28/01/2019,68.199997,70.199997,61.599998,61.799999,61.799999,58400
04/02/2019,61.599998,63.5,58.200001,60.299999,60.299999,39800
11/02/2019,59.900002,61,57.099998,57.599998,57.599998,33100
18/02/2019,57.5,58.599998,53.900002,53.900002,53.900002,39900
25/02/2019,53,57.5,52,53,53,32300
04/03/2019,52.200001,61.900002,51.799999,58.400002,58.400002,72900
11/03/2019,58,58,49.900002,50.599998,50.599998,60900
18/03/2019,51.599998,56.799999,49.5,56.5,56.5,109900
25/03/2019,57,58.299999,51.5,51.700001,51.700001,110100
01/04/2019,50.799999,51.5,49.400002,49.5,49.5,44600
08/04/2019,50,51.099998,46.200001,46.299999,46.299999,49900
15/04/2019,45.900002,47.5,44.700001,44.900002,44.900002,40700
22/04/2019,45.299999,47.299999,43.799999,44.700001,44.700001,33900
29/04/2019,44.5,48.700001,44.5,44.799999,44.799999,65400
06/05/2019,50.400002,58.700001,47,50,50,244300
13/05/2019,55.5,57.400002,49,50.299999,50.299999,185900
20/05/2019,49.099998,52,47.5,50.099998,50.099998,79900
27/05/2019,49.900002,54.099998,49.099998,53.900002,53.900002,119700
03/06/2019,53.900002,55.299999,48.700001,49.599998,49.599998,115600
10/06/2019,48.799999,50.5,48.200001,48.200001,48.200001,62400
17/06/2019,48.200001,48.200001,44.5,47.200001,47.200001,54700
24/06/2019,46.5,48,45.5,45.5,45.5,40900
01/07/2019,46.400002,46.400002,41.299999,41.700001,41.700001,54500
08/07/2019,42.700001,43.900002,40.099998,40.099998,40.099998,35400
15/07/2019,40.099998,41.799999,39.400002,41.200001,41.200001,43200
22/07/2019,41.700001,41.700001,37.700001,38.200001,38.200001,49500
29/07/2019,38.400002,46.900002,38,45.200001,45.200001,137500
05/08/2019,47.5,52.900002,45.5,47.5,47.5,153700
12/08/2019,47.900002,54.599998,47.099998,49.5,49.5,146900
19/08/2019,47.700001,51.900002,44.299999,51,51,788400
26/08/2019,47.799999,52.299999,46.5,47.5,47.5,843500
02/09/2019,48.799999,50.099998,43.5,43.700001,43.700001,680300
09/09/2019,43.099998,44.400002,40.299999,40.700001,40.700001,781200
16/09/2019,42,42,38.5,41.099998,41.099998,818000
23/09/2019,41.400002,44.200001,39.5,43.099998,43.099998,1035600
30/09/2019,43.099998,47.700001,40.700001,42.5,42.5,1182300
07/10/2019,42.900002,46.200001,40,40.599998,40.599998,1052800
14/10/2019,39.5,39.5,37.099998,37.400002,37.400002,987700
21/10/2019,37,37.700001,35,35,35,777300
28/10/2019,34.5,36,33.299999,33.400002,33.400002,721700
04/11/2019,32.5,34.5,32.5,32.900002,32.900002,429600
11/11/2019,33.400002,33.700001,30.6,30.6,30.6,654300
18/11/2019,30.700001,32.400002,30.4,30.5,30.5,461300
25/11/2019,30.200001,30.200001,28,28.799999,28.799999,540100
02/12/2019,28.299999,33.700001,28.299999,29.5,29.5,856900
09/12/2019,29.9,31.700001,27.299999,27.4,27.4,878800
16/12/2019,26.799999,26.9,25.1,26.4,26.4,566600
23/12/2019,26.5,27.1,26.299999,26.799999,26.799999,262600
30/12/2019,27,28.700001,25.6,26.9,26.9,794200
06/01/2020,28,28,24.6,24.9,24.9,815800
13/01/2020,24.6,24.799999,23.200001,23.5,23.5,586500
20/01/2020,23.6,25.6,23.1,25.1,25.1,885400
27/01/2020,27,29.4,25.5,28.6,28.6,5829700
03/02/2020,27.799999,28.200001,24.700001,25.299999,25.299999,1657900
10/02/2020,25.5,25.5,23.6,23.799999,23.799999,887400
17/02/2020,24.27,26.950001,23.74,26.280001,26.280001,561200
24/02/2020,28.940001,44.139999,28.870001,40.599998,40.599998,2647700
02/03/2020,39.450001,57.669998,37.25,52.75,52.75,2719500
09/03/2020,78,87.540001,51.689999,80,80,987600
16/03/2020,95.050003,149.809998,91.010002,107.800003,107.800003,1121100
23/03/2020,107,107,56.009998,89.620003,89.620003,513400
30/03/2020,89.690002,92,79.779999,80.779999,80.779999,600700
06/04/2020,75.099998,77.839996,72.790001,74.07,74.07,612800
13/04/2020,73.620003,75.580002,65.989998,69.589996,69.589996,519100
20/04/2020,73.419998,86.07,71.580002,74.620003,74.620003,1322500
27/04/2020,72.059998,75.169998,64.099998,73.209999,73.209999,785200
04/05/2020,75.980003,76.82,62.610001,62.639999,62.639999,577300
11/05/2020,64.32,76.699997,56.25,65.699997,65.699997,1835500
18/05/2020,61.689999,64.489998,59.799999,61.439999,61.439999,482300
25/05/2020,61,63.330002,58.57,59.610001,59.610001,627200
01/06/2020,61.040001,61.240002,51.259998,52.25,52.25,338400
08/06/2020,52.130001,81,52.060001,69.610001,69.610001,1094100
15/06/2020,76.25,82.18,63.049999,66.519997,66.519997,488100
22/06/2020,66.860001,69.379997,60.279999,67.550003,67.550003,353700
29/06/2020,66.5,68.279999,56,60.5,60.5,160400
06/07/2020,55.849998,62.259998,55.849998,58.049999,58.049999,315400
13/07/2020,57.389999,64.5,55.169998,55.169998,55.169998,273700
20/07/2020,54.720001,56.639999,50.799999,54.459999,54.459999,308500
27/07/2020,53.779999,56.380001,50.959999,51.5,51.5,318900
03/08/2020,51.099998,51.099998,47.450001,48,48,240300
10/08/2020,47.169998,48.93,45,46,46,268200
17/08/2020,45.16,46.66,43.369999,44.41,44.41,332800
24/08/2020,43.259998,49.98,42.720001,46.169998,46.169998,501500
31/08/2020,47.200001,61.5,46.5,52.450001,52.450001,1158500
07/09/2020,57.459999,57.459999,46.080002,46.080002,46.080002,511300
14/09/2020,45.529999,46.599998,42.810001,44.029999,44.029999,451700
18/09/2020,43.810001,45.080002,42.810001,44.029999,44.029999,110401
